condition_id,swap_variant,layer,logit_A,logit_B,delta_AB,rank_A,rank_B,j_score_A,j_score_B,j_delta_AB,j_rank_A,j_rank_B
sc5_swap,True,54,15.0625,4.1953125,10.8671875,173,14761,,,,,
sc5_swap,True,55,2.201171875,0.927734375,1.2734375,51843,69039,,,,,
sc5_swap,True,56,-8.9765625,-42.9375,33.9609375,239651,262141,,,,,
sc5_swap,True,57,-8.6875,-75.25,66.5625,229590,262143,,,,,
sc5_swap,True,58,35.90625,-2.6328125,38.5390625,11,177778,,,,,
sc5_swap,True,59,52.375,27.09375,25.28125,0,1,,,,,
sc10_orig,False,0,-270.25,-217.75,-52.5,262133,262127,,,,,
sc10_orig,False,1,-613.5,-1022.5,409.0,262131,262138,,,,,
sc10_orig,False,2,-591.5,-992.5,401.0,262131,262138,,,,,
sc10_orig,False,3,-528.0,-995.0,467.0,262131,262139,,,,,
sc10_orig,False,4,-518.5,-980.5,462.0,262131,262139,,,,,
sc10_orig,False,5,-373.5,-783.5,410.0,262133,262141,,,,,
sc10_orig,False,6,-280.25,-580.0,299.75,262132,262141,,,,,
sc10_orig,False,7,-208.875,-405.25,196.375,262131,262140,,,,,
sc10_orig,False,8,-224.375,-441.5,217.125,262131,262140,,,,,
sc10_orig,False,9,-170.5,-348.5,178.0,262129,262140,,,,,
sc10_orig,False,10,-140.125,-272.25,132.125,262127,262140,,,,,
sc10_orig,False,11,-121.625,-220.875,99.25,262129,262139,,,,,
sc10_orig,False,12,-157.875,-260.0,102.125,262128,262138,,,,,
sc10_orig,False,13,-157.0,-257.25,100.25,262129,262138,,,,,
sc10_orig,False,14,-157.5,-251.125,93.625,262129,262137,,,,,
sc10_orig,False,15,-135.375,-183.0,47.625,262130,262137,,,,,
sc10_orig,False,16,-127.8125,-160.75,32.9375,262130,262137,,,,,
sc10_orig,False,17,-114.0625,-115.75,1.6875,262133,262134,,,,,
sc10_orig,False,18,-112.375,-115.25,2.875,262133,262134,,,,,
sc10_orig,False,19,-109.125,-115.375,6.25,262133,262136,,,,,
sc10_orig,False,20,-96.3125,-98.125,1.8125,262133,262134,,,,,
sc10_orig,False,21,-93.125,-97.25,4.125,262131,262134,,,,,
sc10_orig,False,22,-95.3125,-98.0625,2.75,262133,262135,,,,,
sc10_orig,False,23,-92.75,-99.1875,6.4375,262134,262135,,,,,
sc10_orig,False,24,-95.375,-109.9375,14.5625,262133,262137,,,,,
